⺀	0
⺄	1
⺆	2
⺊	3
⺌	4
⺼	5
⿺	6
ユ	7
㇀	8
㇇	9
㐄	10
㐅	11
㐆	12
㐌	13
㐬	14
㐭	15
㐱	16
㒸	17
㒼	18
㓁	19
㓞	20
㔾	21
㕡	22
㕣	23
㚅	24
㚒	25
㚘	26
㝴	27
㝵	28
㞢	29
㠯	30
㡀	31
㡭	32
㣎	33
㣺	34
㥑	35
㥯	36
㫗	37
㬎	38
㳄	39
㳟	40
㸒	41
䀠	42
䍃	43
䏌	44
䏍	45
䒑	46
䖒	47
䖝	48
䖵	49
䙲	50
䚯	51
䜌	52
䡛	53
䧹	54
䩗	55
䩻	56
䲨	57
一	58
丁	59
丂	60
七	61
丅	62
丆	63
丈	64
上	65
下	66
不	67
丐	68
丑	69
且	70
丕	71
世	72
丘	73
丙	74
业	75
丞	76
並	77
丨	78
丩	79
中	80
丰	81
串	82
丵	83
丶	84
丷	85
丸	86
丹	87
主	88
丿	89
乀	90
乂	91
乃	92
久	93
乇	94
之	95
乍	96
乎	97
乏	98
乑	99
乖	100
乘	101
乙	102
乚	103
乛	104
九	105
乞	106
也	107
习	108
乡	109
亅	110
了	111
亇	112
予	113
争	114
事	115
二	116
亍	117
于	118
亏	119
云	120
五	121
井	122
亘	123
亙	124
亞	125
亟	126
亠	127
亡	128
亢	129
交	130
亥	131
亦	132
亨	133
亩	134
享	135
京	136
亭	137
亲	138
亶	139
人	140
亻	141
亼	142
亽	143
今	144
介	145
仌	146
从	147
仒	148
付	149
代	150
令	151
以	152
任	153
伏	154
伐	155
休	156
何	157
佘	158
余	159
你	160
佰	161
來	162
侌	163
侖	164
侯	165
便	166
保	167
俞	168
倉	169
倍	170
倠	171
傘	172
備	173
僉	174
儿	175
兀	176
允	177
元	178
兄	179
充	180
兆	181
先	182
光	183
克	184
兌	185
免	186
兒	187
兔	188
兜	189
兟	190
入	191
內	192
全	193
兩	194
八	195
公	196
共	197
关	198
其	199
具	200
典	201
兹	202
兼	203
冀	204
冂	205
冃	206
内	207
冉	208
冊	209
冋	210
册	211
冏	212
冒	213
冓	214
冖	215
冗	216
冘	217
冝	218
冡	219
冢	220
冥	221
冫	222
冬	223
几	224
凡	225
処	226
凵	227
凶	228
凷	229
凸	230
凹	231
出	232
函	233
刀	234
刁	235
刂	236
刃	237
刅	238
分	239
切	240
刍	241
刑	242
刖	243
列	244
利	245
到	246
制	247
刷	248
則	249
剌	250
前	251
劉	252
力	253
加	254
务	255
劦	256
助	257
劵	258
勃	259
勇	260
動	261
務	262
勞	263
勹	264
勺	265
勿	266
匀	267
匃	268
包	269
匆	270
匈	271
匊	272
匋	273
匍	274
匐	275
匕	276
化	277
北	278
匚	279
匛	280
匝	281
匡	282
匧	283
匱	284
匽	285
匿	286
區	287
十	288
卂	289
千	290
卅	291
午	292
卉	293
半	294
